"Gene_Symbol","Full_Gene_Name","Functional_Category","Primary_Role","Category_Group"
"RETNLB","Resistin-like beta","Mucosal barrier","Goblet cell defense factor, mucus production","Mucosal Defense"
"MUC2","Mucin 2","Mucosal barrier","Major secretory mucin in gastrointestinal tract","Mucosal Defense"
"MUC5AC","Mucin 5AC","Mucosal barrier","Surface goblet cell mucin production","Mucosal Defense"
"NCR1","Natural killer cell p46-related protein","NK cell marker","Natural killer cell activation and cytotoxicity","Innate Immune Markers"
"MPO","Myeloperoxidase","Neutrophil marker","Neutrophil-mediated oxidative pathogen killing","Innate Immune Markers"
"MYD88","Myeloid differentiation primary response 88","TLR signaling","TLR-mediated NF-κB activation, inflammation","Inflammatory Signaling"
"CASP1","Caspase 1","Inflammasome","IL-1β and IL-18 production, pyroptosis","Inflammatory Signaling"
"IL1RN","Interleukin 1 receptor antagonist","Anti-inflammatory","Natural IL-1β antagonist, infection control","Inflammatory Signaling"
"TNF","Tumor necrosis factor alpha","Pro-inflammatory cytokine","Inflammation, immune cell activation","Inflammatory Signaling"
"IL.6","Interleukin 6","Pro-inflammatory cytokine","Inflammation regulation, acute phase response","Inflammatory Signaling"
"CXCL9","C-X-C motif chemokine ligand 9","Chemokine","Immune cell migration, Th1 activation","Chemokines and Migration"
"CXCR3","C-X-C motif chemokine receptor 3","Chemokine receptor","CXCL9/CXCL11 receptor, T cell trafficking","Chemokines and Migration"
"IFNy","Interferon gamma","Th1 effector cytokine","Macrophage activation, pathogen clearance","Th1/Th2 Response"
"IL.13","Interleukin 13","Th2 cytokine","Alternative macrophage activation, mucus production","Th1/Th2 Response"
"IRGM1","Immunity-related GTPase M1","Intracellular defense","Autonomous cell defense, parasite clearance","Th1/Th2 Response"
"TICAM1","TIR domain-containing adaptor molecule 1","TLR signaling","Type I IFN production, antiviral response","Regulatory Pathways"
"SOCS1","Suppressor of cytokine signaling 1","Immune regulation","JAK/STAT pathway regulation, T-cell differentiation","Regulatory Pathways"
"IDO1","Indoleamine 2,3-dioxygenase 1","Immune regulation","T-cell activity regulation via tryptophan depletion","Regulatory Pathways"
"PRF1","Perforin 1","Cytotoxic effector","Cytotoxic granule protein, target cell lysis","Cytotoxic Markers"
